reviewid,title,artist,label,pub_year,year,genre,score,best_new_music
5982,"black foliage: animation music vol. 1","various artists",flydaddy,1999,1999,,9.1,0
5983,"dusk at cubist castle","various artists",flydaddy,2004,1996/2004,,9.4,0
5996,"each one teach one",oneida,jagjaguwar,2003,2002,rock,6.5,0
5997,"atheists, reconsider","liars, oneida","arena rock",2003,2002,experimental/rock,7.4,0
5998,"anthem of the moon",oneida,jagjaguwar,2001,2001,rock,7.8,0
5999,"secret wars",oneida,jagjaguwar,2004,2004,rock,7.8,0
6000,"nice: splittin' peaches ep",oneida,"ace fu",2004,2004,rock,7.4,0
6001,"the wedding",oneida,jagjaguwar,2005,2005,rock,7.4,0
6002,"tjo tko","tara jane o'neil","mr. lady",2002,2002,rock,6.2,0
6003,peregrine,"tara jane o'neil",quarterstick,2000,,rock,6.2,0
6004,"music for a meteor shower","tara jane o'neil & daniel littleton","tiger style",2002,2002,,3.5,0
6005,"in the sun lines","tara jane o'neil","quarterstick/touch and go",2001,2001,rock,7.0,0
6008,tvi,"yuji oniki","future farmer",2002,2001,pop/r&b,5.0,0
6010,"blueprint for a sunrise","yoko ono",capitol,2001,2001,experimental/rock,5.6,0
6011,"shock city shockers 2",ooioo,"polystar/shock city",2002,2001,experimental/rock,7.3,0
6013,"feather float",ooioo,birdman,2001,,experimental/rock,9.0,0
6014,"kila kila kila",ooioo,"thrill jockey",2004,2004,experimental/rock,5.8,0
6016,"space and time: a compendium of...","orange alabaster mushroom","hidden agenda",2002,2001,rock,8.0,0
6018,"home burns","orange can",regal,2001,2001,rock,7.1,0
6020,"circling the sun","the orange peels",parasol,2005,2005,rock,3.3,0
6022,"shutdown the sun",oranger,"jackpine social club",2004,2003,rock,7.3,0
6023,"new comes and goes",oranger,"eenie meenie",2005,2005,rock,7.5,0
6026,cydonia,"the orb",mca,2001,2001,electronic,6.1,0
6027,"bicycles & tricycles","the orb",v2,2003,2003,electronic,6.5,0
6029,"okie dokie, it's the orb on kompakt","the orb",kompakt,2005,2005,electronic,7.3,0
6032,"the altogether",orbital,london/sire,2001,2001,electronic,5.2,0
6033,"the blue album",orbital,hti,2004,2004,electronic,7.3,0
6038,h.o.m.e.s.,"original brothers and sisters of love","telegraph company",2001,2001,,7.3,0
6039,"original instrument","original instrument",kracfive,2002,2002,,7.5,0
6040,insignificance,"jim orourke","drag city",2001,2001,experimental,8.0,0
6041,"i'm happy, and i'm singing, and a 1, 2, 3, 4","jim orourke",mego,2002,2001,experimental,9.0,0
6046,daybreaker,"beth orton",astralwerks,2002,2002,rock,4.8,0
6049,"pass in time: the definitive collection","beth orton",emi,2003,2003,rock,5.1,0
6050,"comfort of strangers","beth orton",astralwerks,2006,2006,rock,7.2,0
6055,"lifestyles of the laptop cafe","the other people place",warp,2002,2001,electronic,7.8,0
6059,"s.t.r.e.e.t. d.a.d.","out hud",kranky,2003,2002,electronic/rock,9.0,1
6060,"let us never speak of it again","out hud",kranky,2005,2005,electronic/rock,8.0,0
6062,"the book of spectral projections","outrageous cherry","parasol/rainbow quartz",2002,2002,rock,7.1,0
6063,"our love will change the world","outrageous cherry","rainbow quartz",2005,2004,rock,7.7,0
6066,ovalcommers,oval,"thrill jockey",2001,2001,electronic/experimental,7.8,0
6068,"wasted sunday",ovuca,rephlex,2001,2001,electronic,7.4,0
6072,owen,owen,polyvinyl,2002,2001,rock,7.2,0
6073,owls,owls,"jade tree",2001,2001,rock,7.0,0
6074,"our hopes and dreams","the owls","magic marker",2004,2004,rock,7.7,0
6075,"an evil heat",oxbow,neurot,2001,2002,experimental/metal/rock,8.1,0
6076,oxxxes,oxes,monitor,2002,2002,experimental/metal/rock,6.8,0
6077,"oxes ep",oxes,monitor,2005,2005,experimental/metal/rock,6.9,0
6078,unrest,"erlend ye",astralwerks,2003,2003,electronic/rock,7.9,0
6079,"dj kicks","erlend ye",!k7,2004,2004,electronic/rock,8.2,1
6080,"the grand pecking order",oysterhead,asylum/elektra,2001,2001,,6.0,0
6081,"all your faded things","anna oxygen","cold crush",2003,2003,electronic/pop/r&b/rock,6.2,0
6082,"sinking hearts ep","the organ",mint,2003,2003,rock,7.1,0
6083,"grab that gun","the organ",mint,2005,2004,rock,6.6,0
6084,58:34,"ova looven",artikal,2003,2003,electronic,3.0,0
6087,"kitsch concrete","fritz ostermayer",mego,2003,2003,electronic,7.9,0
6088,"no more wig for ohio","odd nosdam",anticon,2003,2003,rap,6.7,0
6089,burner,"odd nosdam",anticon,2005,2005,rap,7.0,0
6090,"ancient & modern: cassette memories, vol. 1","aki onda",phenomena,2003,2003,electronic,7.9,0
6091,monolith,omid,mush,2003,2003,pop/r&b/rap,6.2,0
6092,on!air!library!,on!air!library!,"arena rock",2004,2004,,8.0,0
6093,"a name writ in water","the one am radio","level plane",2004,2004,electronic/rock,8.1,0
6094,"tinnitus vu","organum, z'ev",touch,2004,2004,electronic/experimental/rock,6.9,0
6095,"the volunteers",onelinedrawing,"jade tree",2004,2004,rock,7.1,0
6096,"on the speakers ep","on the speakers","17 reasons",2004,2003/2004,rock,5.8,0
6097,"cash and carry songs",octet,plain,2004,2004,electronic/pop/r&b/rock,7.5,0
6098,"oakley hall","oakley hall",bulb,2004,2004,rock,8.5,0
6099,"second guessing","oakley hall",amish,2006,2006,rock,7.3,0
6100,"the disrupt","oh no","stones throw",2004,2004,pop/r&b/rap,7.8,0
6103,"sleeps with fishes","on fillmore",quakebasket,2005,2004,rock,7.7,0
6104,"osirus: the official mixtape","ol' dirty bastard","jc/sure shot",2005,2004,rap,6.4,0
6105,"the definitive ol' dirty bastard story","ol' dirty bastard",rhino,2005,2005,rap,4.8,0
6106,"how to kill the dj [part two]",optimo,"kill the dj",2005,2005,electronic,9.0,0
6107,"psyche out",optimo,eskimo,2005,2005,electronic,8.2,0
6108,"one ten hundred thousand million","the octopus project",peek-a-boo,2005,2005,electronic/experimental/rock,7.3,0
6109,"home to oblivion: an elliott smith tribute","christopher o'riley","world village",2006,2006,,3.9,0
6110,"hold me to this: christopher o'riley plays radiohead","christopher o'riley","world village",2005,2005,,6.2,0
6111,"trans balkan express",omfo,essay,2005,2005,electronic/folk/country,3.9,0
6112,"the world and everything in it","the oranges band",lookout!,2005,2005,pop/r&b,7.6,0
6113,ov,orthrelm,ipecac,2005,2005,rock,8.5,0
6114,"fallow field","the old haunts","kill rock stars",2005,2005,rock,6.7,0
6115,"variations on a theme",om,"holy mountain",2005,2005,metal/rock,7.8,0
6116,"a good ground","oxford collapse",kanine,2005,2005,rock,7.8,0
6117,"cannery hours","the occasion","say hey",2005,2005,rock,7.6,0
6118,"the aether eater",odawas,jagjaguwar,2005,2005,,6.7,0
6119,"the glasgow school","orange juice",domino,2005,2005,rock,9.3,0
6120,"here where nothing grows",ocean,important,2005,2005,rock,7.9,0
6121,levitation,"mark oleary, tomasz stako, billy hart",leo,2006,2005,jazz,7.7,0
6122,"everyone into position",oceansize,"beggars banquet",2006,2006,rock,5.9,0
6123,miastenia,ovo,load,2006,2006,experimental,6.9,0
6124,"in fine style: original rockers 7"" and 12"" selection 1973-1979","augustus pablo","pressure sounds",2003,2003,electronic/global,7.9,0
6125,"building a building","pajama party in a haunted hive","coming in second",2002,2002,,7.0,0
6126,"these are the new good times","pale horse and rider",darla,2003,2003,folk/country,6.3,0
6128,ii,palomar,"self-starter foundation",2002,2002,rock,6.8,0
6129,"the river made no sound","pan american",kranky,2002,2002,electronic/rock,5.8,0
6133,"quiet city","pan american",kranky,2004,2004,electronic/rock,8.0,0
6138,a,"pan sonic","blast first",1999,,electronic/experimental,7.4,0
6139,"kesto (234:48:4)","pan sonic",mute,2004,2004,electronic/experimental,8.2,0
6141,"young prayer","panda bear","paw tracks",2004,2004,electronic,8.5,1
6142,"the silver sound sessions ep","june panic","secretly canadian",2001,2001,rock,7.4,0
6143,"baby's breadth","june panic","secretly canadian",2003,2002,rock,8.6,0
6144,"hope you fail better","june panic","secretly canadian",2004,2003,rock,8.0,0
6149,"the essential","pansy division","alternative tentacles",2006,2006,rock,7.8,0
6150,"let's get serious ep",panthers,"dim mak",2003,2003,rock,7.9,1
6151,"are you down?",panthers,"troubleman unlimited",2002,2002,rock,0.7,0
6152,"things are strange",panthers,vice,2004,2004,rock,6.2,0
6153,"whatever, mortal","papa m","drag city",2001,2001,rock,8.6,0
6154,"three songs ep","papa m","drag city",2002,,rock,8.0,0
6155,"songs of mac ep","papa m","western vinyl",2002,2002,rock,7.5,0
6162,"hole of burning alms","papa m","drag city",2004,2004,rock,7.6,0
6163,"lines are infinitely fine","paradise island","dim mak",2003,2003,electronic/rock,5.7,0
6164,cocadisco,"the parallax corporation","disko b",2003,2002,electronic/pop/r&b,7.3,0
6167,"how animals move","john parish","thrill jockey",2002,2002,rock,6.7,0
6170,"it's all happening now","lewis parker",melankolic,2003,2003,electronic/rap,8.5,0
6172,"doing their own thing","maceo parker","fuel 2000",2001,1970/2001,jazz/rock,8.0,0
6173,"raining on the moon","william parker","thirsty ear",2002,2002,jazz,8.4,0
6174,"luc's lantern","william parker","thirsty ear",2005,2005,jazz,7.0,0
6175,"'up for the down stroke', 'chocolate city' and 'mothership connection'",parliament,casablanca,2003,1974/1976,rock,8.3,0
6176,"octopus off-broadway",parlour,"temporary residence",2002,2002,rock,6.8,0
6177,googler,parlour,"temporary residence",2003,2002,rock,7.5,0
6178,"hives fives ep",parlour,"temporary residence",2005,2005,rock,7.3,0
6180,"prson sound","prson sound","subliminal sounds/ti'llindien",2001,2001,rock,9.3,0
6182,"fuzzy warbles volumes 3 & 4","andy partridge",ape,2003,2003,pop/r&b,4.9,0
6183,"fuzzy warbles, vol. 1 & 2","andy partridge",ape,2003,2002,pop/r&b,7.4,0
6186,"please believe it","the party of helicopters",velocette,2003,2003,metal/rock,6.5,0
6188,"the handbag memoirs",pas/cal,"le grand magistery",2003,2003,pop/r&b/rock,5.8,0
6189,"oh honey, we're ridiculous ep",pas/cal,"le grand magistery",2004,2004,pop/r&b/rock,7.9,0
6191,"real feelness","the pattern",lookout!,2002,2002,rock,6.7,0
6192,"immediately ep","the pattern",lookout!,2002,2001,rock,5.5,0
6194,wingfoot,"parker paul",jagjaguwar,2002,2001,rock,7.1,0
6200,"crooked rain, crooked rain: la's desert origins",pavement,matador,2004,1994/2004,rock,10.0,0
6203,"the teaches of peaches",peaches,beggars/kitty-yo/xl,2002,2002,electronic,7.5,0
6204,fatherfucker,peaches,xl,2003,2003,electronic,3.5,0
6206,"riot act","pearl jam",epic,2003,2002,rock,4.9,0
6209,"rearviewmirror (greatest hits 1991-2003)","pearl jam",sony,2004,2004,rock,5.9,0
6210,"pearl jam","pearl jam",j,2006,2006,rock,5.5,0
6212,"the only reason i feel secure ep","pedro the lion","made in mexico",2002,1999/2001,rock,7.5,0
6213,"the only reason i feel secure ep","pedro the lion","made in mexico",1999,,rock,8.4,0
6215,control,"pedro the lion","jade tree",2002,2002,rock,7.2,0
6216,"achilles heel","pedro the lion","jade tree",2004,2004,rock,4.7,0
6222,enemies,pele,polyvinyl,2002,2002,rock,6.3,0
6226,o.s.t.,"people under the stairs",om,2002,2002,jazz/rap,7.7,0
6229,"a ritual loop","per mission",monitor,2001,2001,electronic/rock,6.7,0
6230,"st. arkansas","pere ubu",spinart,2002,2002,rock,8.5,0
6237,"yours mine & ours","pernice brothers",ashmont,2003,2003,rock,7.9,0
6238,"the world won't end","pernice brothers",ashmont,2001,2001,rock,7.2,0
6240,"nobody's listening/nobody's watching","pernice brothers",ashmont,2005,2005,rock,7.4,0
6241,"discover a lovelier you","pernice brothers",ashmont,2005,2005,rock,5.8,0
6242,"big tobacco","joe pernice",glitterhouse,2002,2000/2001,pop/r&b,7.0,0
6243,two,"andrea perry","trust issue",2002,2002,pop/r&b,7.0,0
6244,"the wonderman years","lee scratch perry",trojan,2003,2002,global,6.8,0
6246,"necessary measures",pest,"ninja tune",2003,2003,jazz,6.1,0
6247,nightlife,"pet shop boys",sire,1999,,electronic,3.2,0
6252,"gilles peterson in africa","gilles peterson",ether,2005,2005,electronic/jazz,7.0,0
6255,"liz phair","liz phair",capitol,2003,2003,rock,0.0,0
6256,"somebody's miracle","liz phair",capitol,2005,2005,rock,2.0,0
6257,"the guest","phantom planet",epic,2002,2002,electronic/rock,7.3,0
6258,"phantom planet","phantom planet",sony,2004,2004,electronic/rock,7.3,0
6260,ii,"pharaoh overlord","no quarter",2003,2003,rock,7.0,0
6262,cost,"patrick phelan",jagjaguwar,2006,2006,rock,7.1,0
6264,customs,"joel rl phelps, the downer trio",moneyshot,2004,2004,,7.9,0
6265,"melody, melody, melody and more melody","the phenomenological boys",tomlab,2003,2003,rock,3.8,0
6270,"odd job discrimination ep",phoenecia,schematic,2001,2001,electronic,8.2,0
6273,alphabetical,phoenix,astralwerks/source,2004,2004,rock,6.7,0
6274,"live! 30 days ago",phoenix,astralwerks,2005,2005,rock,6.5,0
6279,"it's a lonely planet","photon band",darla,2003,2002,rock,7.3,0
6280,zacks,phthalocyanine,phthalo,2001,2001,electronic,8.3,0
6281,"writers without homes","piano magic",4ad,2003,2002,electronic/rock,6.1,0
6282,"seasonally affective: 1996-2000","piano magic","rocket girl",2001,2001,electronic/rock,7.8,0
6286,"opencast heart ep","piano magic",important,2005,2005,electronic/rock,7.2,0
6287,disaffected,"piano magic",darla,2005,2005,electronic/rock,7.6,0
6289,"three henries",pillow,hpna,2001,2001,rock,7.2,0
6291,"games at high speeds","pilot to gunner","gern blandsten",2001,2001,metal/rock,7.7,0
6295,"some voices ep",pinback,tree,2000,2000,rock,7.1,0
6296,pinback,pinback,"ace fu",1999,1999,rock,7.2,0
6297,offcell,pinback,"absolutely kosher",2003,2003,rock,8.5,0
6298,"blue screen life",pinback,"ace fu",2001,2001,rock,5.4,0
6299,"summer in abaddon",pinback,"touch and go",2004,2004,rock,8.1,0
6304,"lest we forget","pinetop seven",self-help,2001,2001,rock,8.8,0
6305,"bringing home the last great strike","pinetop seven",atavistic/truckstop,2000,2000,rock,8.9,0
6306,"the night's bloom","pinetop seven","barbary coast/empyrean",2005,2005,rock,8.4,0
6307,animals,"pink floyd",columbia,2000,,rock,10.0,0
6312,"pixeltan ep",pixeltan,"troubleman unlimited",2002,2002,electronic,7.7,0
6314,pixies,pixies,spinart,2002,2002,rock,6.4,0
6316,"complete b-sides",pixies,4ad,2001,2001,rock,9.6,0
6320,"hey!: live pixies 2004-2005",pixies,emusic,2006,2006,rock,8.2,0
6326,"sleeping with ghosts",placebo,astralwerks,2003,2003,rock,6.4,0
6327,"black market music",placebo,virgin,2000,2000,rock,2.4,0
6328,meds,placebo,astralwerks,2006,2006,rock,5.1,0
6330,"call it sleep","the places",hush,2004,2004,rock,7.3,0
6331,trainer,plaid,warp,2000,2000,electronic,8.5,0
6332,"rest proof clockwork",plaid,interscope/nothing/warp,1999,1999,electronic,8.4,0
6333,"peel session ep",plaid,interscope/nothing/warp,1999,1999,electronic,6.8,0
6335,"double figure",plaid,warp,2001,,electronic,7.6,0
6336,"parts in the post",plaid,warp,2003,2003,electronic,8.2,0
6337,spokes,plaid,warp,2003,2003,electronic,6.2,0
6344,playgroup,playgroup,astralwerks,2002,2002,electronic,4.2,0
6346,alter,"pleasure forever","sub pop",2003,2003,rock,8.4,0
6348,"for beginner piano",plone,matador/warp,1999,,electronic,5.4,0
6352,"bit sand riders",pluramon,"mille plateaux",2000,,electronic/rock,7.6,0
6353,"dreams top rock",pluramon,"karaoke kalk",2003,2003,electronic/rock,8.5,0
6354,"self-titled long-playing debut album",+/-,teenbeat,2002,2002,,8.4,0
6355,"holding patterns ep",+/-,teenbeat,2003,2003,,7.5,0
6356,"you are here",+/-,teenbeat,2004,2003,,7.6,0
6357,fed,plush,"after hours",2003,2002,pop/r&b,6.9,0
6358,underfed,plush,"sea note",2004,2004,pop/r&b,7.1,0
6359,"european onion",pluxus,"rocket girl",2003,2002,electronic,6.3,0
6360,"love or perish","pocket rockets",teenbeat,2003,2003,rock,7.0,0
6364,"streams of whiskey","the pogues",castle,2002,2002,rock,6.0,0
6367,"jetpack blues",polara,susstones,2002,2002,rock,7.5,0
6369,"pole v. four tet ep","pole v. four tet",leaf,2000,,,7.8,0
6370,pole,pole,mute,2003,2003,electronic,5.5,0
6371,"cd 3",pole,matador,2000,,electronic,7.4,0
6372,"cd 2",pole,matador,1999,,electronic,7.2,0
6374,"45/45 ep",pole,mute,2003,2003,electronic,6.8,0
6377,"speak kindly of your volunteer fire department","robert pollard and doug gillard",rockathon,1999,,,7.4,0
6378,"motel of fools","robert pollard","fading captain",2003,2003,rock,6.9,0
6379,"kid marine","robert pollard",rockathon,1999,,rock,5.3,0
6380,"choreographed man of war","robert pollard and his soft rock renegades",recordhead/rockathon,2001,,,7.4,0
6383,"relaxation of the asshole","robert pollard",rockathon,2005,2005,rock,0.0,0
6386,"from a compound eye","robert pollard",merge,2006,2006,rock,7.1,0
6387,"the science of breath","polmo polpo",alien8/substractif,2002,2002,electronic/rock,7.8,0
6388,"like hearts swelling","polmo polpo",constellation,2003,2003,electronic/rock,7.8,0
6392,"wrapped islands","fennesz, polwechsel",erstwhile,2003,2003,experimental,6.8,0
6393,"surfing on sine waves","polygon window",warp,2002,1993/2001,electronic,8.1,0
6394,"the beginning stages of...","the polyphonic spree",good,2002,2001,rock,6.1,0
6395,"together we're heavy","the polyphonic spree",hollywood,2004,2004,rock,7.6,0
6396,neu,polysics,"asian man",2003,2003,electronic/rock,8.3,1
6397,"hey! bob! my friend!",polysics,"asian man",2001,2001,electronic/rock,9.0,0
6398,"polysics or die!!!",polysics,tofu,2005,2005,electronic/rock,8.2,0
6405,"wild love: the detroit rehearsals and more","iggy and the stooges",bomp,2002,2002,electronic/rock,3.8,0
6408,"beat 'em up","iggy pop",virgin,2001,2001,rock,2.5,0
6409,"skull ring","iggy pop",virgin,2003,2003,rock,4.1,0
6410,"a million in prizes: the anthology","iggy pop",virgin,2005,2005,rock,7.9,0
6415,"the summer of the shark",portastatic,merge,2003,2003,experimental/rock,7.8,0
6417,"looking for leonard",portastatic,merge,2001,,experimental/rock,7.0,0
6418,"de mel, de melo ep",portastatic,merge,2000,,experimental/rock,7.9,0
6419,"autumn was a lark",portastatic,merge,2003,2003,experimental/rock,7.3,0
6420,"bright ideas",portastatic,merge,2005,2005,experimental/rock,6.9,0
6425,"in case you didn't feel like plugging in","the posies",casa,2000,,rock,7.5,0
6426,"dream all day: the best of...","the posies",dgc,2000,,rock,7.4,0
6428,"alive before the iceberg","the posies","badman/houston party",2000,,rock,7.9,0
6429,"every kind of light","the posies",ryko,2005,2005,rock,6.8,0
6432,"give up","the postal service","sub pop",2003,2003,electronic/rock,8.0,0
6433,"we will become silhouettes ep","the postal service","sub pop",2005,2005,electronic/rock,4.3,0
6435,"new world record","poster children",spinart,1999,1999,rock,8.1,0
6436,ddd,"poster children",spinart,2000,2000,rock,7.8,0
6437,"no more songs about sleep and fire","poster children","hidden agenda",2004,2004,rock,7.6,0
6438,"on the offensive ep","poster children","hidden agenda",2004,2004,rock,7.0,0
6439,"the uncertainty of the monkey",posthuman,seed,2002,2001,electronic,8.6,0
6440,"posthuman ep",posthuman,seed,2002,2002,electronic,7.5,0
6441,"with fingers crossed ep",poulain,"soft serve",2002,2002,,5.8,0
6443,"somniloquy ep",pram,merge,2001,2001,experimental/pop/r&b,6.8,0
6445,"the museum of imaginary animals",pram,merge,2000,,experimental/pop/r&b,7.7,0
6446,"dark island",pram,merge,2003,2003,experimental/pop/r&b,5.7,0
6448,"vocal studies + uprock narratives","prefuse 73",warp,2001,2001,electronic,8.7,0
6449,"one word extinguisher","prefuse 73",warp,2003,2003,electronic,9.1,1
6450,"extinguished: outtakes","prefuse 73",warp,2003,2003,electronic,8.2,0
6451,"the '92 vs. '02 collection ep","prefuse 73",warp,2002,2002,electronic,7.7,0
6452,"surrounded by silence","prefuse 73",warp,2005,2005,electronic,6.8,0
6453,"reads the books ep","prefuse 73",warp,2005,2005,electronic,7.5,0
6454,"security screenings","prefuse 73",warp,2006,2006,electronic,6.9,0
6455,"sam prekop","sam prekop","thrill jockey",1999,,electronic,8.9,0
6456,"who's your new professor?","sam prekop","thrill jockey",2005,2005,electronic,8.4,0
6459,"love everybody","the presidents of the united states of america",pusa,2004,2004,metal/rock,6.5,0
6461,"goodbye to the edge city ep","preston school of industry","amazing grease",2001,2001,rock,6.8,0
6462,"all this sounds gas","preston school of industry",matador,2001,2001,rock,5.3,0
6463,monsoon,"preston school of industry",matador,2004,2004,rock,5.0,0
6464,"the new romance","pretty girls make graves",matador,2003,2003,,8.3,0
6465,"good health","pretty girls make graves",lookout!,2002,2002,,9.2,0
6466,"lan vital","pretty girls make graves",matador,2006,2006,,6.4,0
6467,"white sky","archer prewitt","carrot top",1999,1999,rock,8.6,0
6468,three,"archer prewitt","thrill jockey",2002,2002,rock,7.3,0
6469,"gerroa songs","archer prewitt","carrot top",2000,2000,rock,7.3,0
6470,wilderness,"archer prewitt","thrill jockey",2005,2005,rock,8.5,0
6472,"drugs, sex and discotheques","the prima donnas",peek-a-boo,2001,2001,electronic,7.7,0
6474,xtrmntr,"primal scream",astralwerks,2000,2000,rock,8.1,0
6475,"evil heat","primal scream",columbia,2002,2002,rock,6.0,0
6478,"if i was prince","various artists",beggars/rex/xl,2002,2002,,5.0,0
6479,musicology,prince,columbia/npg,2004,2004,pop/r&b/rock,5.8,0
6480,"ultimate prince",prince,rhino,2006,2006,pop/r&b/rock,8.6,0
6481,3121,prince,universal,2006,2006,pop/r&b/rock,6.0,0
6482,"politics of the business","prince paul","razor & tie",2003,2003,rap,5.1,0
6483,"princess superstar is","princess superstar",!k7/rapster,2002,2002,electronic/rap,8.0,0
6486,"always outnumbered, never outgunned","the prodigy",xl,2004,2004,electronic,3.9,0
6487,"their law: the singles","the prodigy",xl,2005,2005,electronic,9.1,0
6491,"under the same stars","the prom",barsuk,2002,2002,pop/r&b/rock,6.8,0
6492,wood/water,"the promise ring",anti-,2002,2002,rock,3.2,0
6495,"electric pink ep","the promise ring","jade tree",2000,2000,rock,0.7,0
6501,revolverlution,"public enemy",koch,2002,2002,rap,6.8,0
6502,"power to the people and the beats","public enemy","def jam",2005,2005,rap,9.4,0
6503,"new whirl odor","public enemy","slam jamz",2005,2005,rap,5.9,0
6505,viewfinder,pullman,"thrill jockey",2002,2002,,5.0,0
6507,"we love life",pulp,island,2001,2001,rock,8.2,0
6513,"tulsa for one second",pulseprogramming,aesthetics,2003,2003,,6.4,0
6514,"the pupils","the pupils",dischord,2002,2002,rock,3.0,0
6516,"feel no fade","push kings","le grand magistery",2002,2001,pop/r&b,0.1,0
6520,"halloween party","pink anvil",ipecac,2003,2003,experimental,3.1,0
6521,parallelograms,"linda perhacs",kapp,2003,1970/2003,folk/country,8.6,0
6522,"ghetto blaster","push button objects","chocolate ind.",2003,2003,electronic,7.2,0
6523,"4 parabolic mixes","philip jeck, main, oval, henri pousseur","sub rosa",2003,2003,electronic/experimental/rock,7.3,0
6524,"shame fantasy ii","pink and brown",load,2003,2003,experimental/rock,7.9,0
6525,"a lil' light","dudley perkins","stones throw",2003,2003,pop/r&b,4.1,0
6526,"expressions (2012 a.u.)","dudley perkins","stones throw",2006,2006,pop/r&b,7.1,0
6527,"sky meadows","the pearlfishers",marina,2004,2003,pop/r&b,6.1,0
6528,"don't make things","the pleased","big wheel recreation",2003,2003,rock,7.7,0
6529,"caught the blast","party of one","fat cat",2003,2003,rock,3.0,0
6530,"parsley sounds","parsley sound","mo'wax",2003,2003,electronic,8.8,0
6531,"rise, rise, rise","tyondai braxton, parts & labor",narnack,2003,2003,electronic/experimental/rock,7.8,0
6532,groundswell,"parts & labor",jmz,2004,2003,experimental/rock,7.2,0
6533,"stay afraid","parts & labor",jagjaguwar,2006,2006,experimental/rock,7.7,0
6534,"the angel of the squared circle","pedal steel transmission","cardboard sangria",2004,2003,rock,7.0,0
6535,"this is where we live",paco,unfiltered,2004,2004,electronic,6.4,0
6536,probot,probot,"southern lord",2004,2004,,7.0,0
6537,"blue cotton skin",petracovich,"red buttons",2004,2004,folk/country/pop/r&b,7.0,0
6538,"laced with romance","the ponys","in the red",2004,2004,rock,8.0,0
6539,"celebration castle","the ponys","in the red",2005,2005,rock,7.8,0
6540,"another wound ep","the ponys","sweet nothing",2005,2005,rock,7.3,0
6541,"funny farm","pipi skid","peanuts & corn",2004,2004,,7.2,0
6542,mazatlan,"the plastic constellations",2024,2004,2004,rock,8.5,1
6543,crusades,"the plastic constellations",frenchkiss,2006,2005,rock,7.8,0
6544,"satin black",paik,"strange attractors audio house",2004,2004,rock,7.5,0
6545,"this is for real","pink grease",mute,2004,2004,rock,6.9,0
6546,"the forcefield kids",passage,anticon,2004,2004,,6.6,0
6547,"the slickness","prince po",lex,2004,2004,rap,7.9,0
6550,"god bless your black heart","the paper chase","kill rock stars",2004,2004,electronic/experimental/metal/rock,6.4,0
6551,"pigeon funk","pigeon funk",onitor,2004,2004,electronic,7.7,0
6552,"my mama never taught me how to cook: the aura years 1978-1982","annette peacock",sanctuary,2004,2004,experimental/jazz,7.9,0
6553,"the doldrums","ariel pink's haunted graffiti","paw tracks",2004,2004,experimental/rock,5.0,0
6554,"worn copy","ariel pink's haunted graffiti","paw tracks",2005,2005,experimental/rock,5.9,0
6555,"house arrest","ariel pink's haunted graffiti","paw tracks",2006,2006,experimental/rock,6.2,0
6556,"aghast agape",prosaics,"dim mak/matador",2004,2004,rock,6.7,0
6557,"the (im)possibility of longing","pattern is movement","noreaster failed industries",2004,2004,pop/r&b,8.3,0
6558,"tiger, my friend",psapp,leaf,2004,2004,electronic/pop/r&b,7.5,0
6559,"tell it to the dust","anders parker",baryon,2004,2004,folk/country,7.7,0
6560,"pony up!","pony up!","dim mak",2005,2005,rock,3.5,0
6561,"the relatives","jeff parker","thrill jockey",2005,2005,jazz,7.4,0
6562,"volume one: unindian songs",pedestrian,anticon,2005,2005,rap/rock,7.4,0
6563,"love in the fascist brothel","the plot to blow up the eiffel tower",revelation,2005,2005,experimental/metal/rock,7.5,0
6564,"the mother of love emulates the shapes of cynthia","the prayers and tears of arthur digby sellers","bu hanan",2005,2005,,7.5,0
6565,"axis of evol","pink mountaintops",jagjaguwar,2006,2006,rock,8.1,0
6566,"pink mountaintops","pink mountaintops",jagjaguwar,2005,2004,rock,7.0,0
6567,"oak or rock",phonophani,"rune grammofon",2005,2005,electronic/jazz,7.5,0
6568,"basement anthology 1976-84","the penetrators",swami,2005,2005,rock,6.5,0
6569,shakey,"pit er pat","thrill jockey",2005,2005,experimental/rock,6.5,0
6570,"metal cares",picastro,polyvinyl,2005,2005,folk/country,7.5,0
6571,"queue for love",populous,morr,2005,2005,electronic,6.5,0
6572,"thank you for the alternative rock","the punks",5rc,2005,2005,experimental,7.1,0
6573,"hello more",plane,dirigeable,2005,2005,electronic,6.2,0
6574,brigadoon,p:ano,mint,2005,2005,rock,7.4,0
6575,pajo,pajo,"drag city",2005,2005,rock,7.3,0
6576,"you absorb my vision","the planet the",5rc,2005,2005,rock,7.3,0
6577,"jess chryst","the peppermints","paw tracks",2005,2005,experimental/rock,3.7,0
6578,"north pole","the primary 5",microindie,2005,2005,pop/r&b,7.2,0
6579,"triple p","platinum pied pipers",ubiquity,2005,2005,,7.2,0
6580,"songs of muerto county","puerto muerto",fire,2005,2005,rock,7.3,0
6581,"the fire in our throats will beckon the thaw",pelican,"hydra head",2005,2005,metal,7.0,0
6582,"i am come","part chimp","rock action",2005,2005,experimental/rock,7.9,0
6583,"yh hmr",paavoharju,fonal,2005,2005,electronic/folk/country,7.8,0
6584,"aw come aw wry",phosphorescent,misra,2005,2005,rock,7.6,0
6585,"love songs of the hanging gardens","kelley polar",environ,2005,2005,electronic/pop/r&b,7.8,0
